"","E1A","E1B","E1C","E2A","E2B","E2C","E3A","E3B","E3C","E4A","E4B","E4C","ETEX","ETF","S1A","S1B","S1C","S2A","S2B","S2C","S3A","S3B","S3C","S4A","S4B","S4C","STEX1","Subgroups","Infragroups","Class","Order","Family","Genus","Species"
"ASV275",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Primulaceae","Soldanella",NA
"ASV276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV277",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,"","","","","","",""
"ASV28",0,117,0,0,0,0,0,0,0,0,0,0,0,0,3395,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae",NA,NA
"ASV281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV282",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae",NA,NA
"ASV283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,2,0,0,"","","","","","",""
"ASV286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,"","","","","","",""
"ASV287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Solanales","Convolvulaceae",NA,NA
"ASV288",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Malpighiales","Violaceae","Viola","Viola_tricolor"
"ASV289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV29",0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,107,142,0,146,0,2962,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Prunus",NA
"ASV290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
"ASV291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,"","","","","","",""
"ASV293",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,"","","","","","",""
"ASV294",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Viridiplantae","Streptophyta","Magnoliopsida","Lamiales","Lentibulariaceae","Pinguicula",NA
"ASV296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","",""
